# module	seconds	peak_mb -- written by scripts/build_pool.py
FourColor.Present8Chk11	32.8	2506
FourColor.Present8Chk110	16.0	2841
FourColor.Present8Chk12	111.8	3533
FourColor.Present8Chk13	58.5	3079
FourColor.Present8Chk14	51.4	3292
FourColor.Present8Chk15	58.8	3331
FourColor.Present8Chk16	56.3	4177
FourColor.Present8Chk17	39.6	2849
FourColor.Present8Chk18	37.4	3503
FourColor.Present8Chk19	52.3	3567
FourColor.Present8Chk2	79.2	2524
FourColor.Present8Chk20	57.5	2970
FourColor.Present8Chk21	20.8	2311
FourColor.Present8Chk22	21.0	2497
FourColor.Present8Chk23	45.8	3244
FourColor.Present8Chk24	19.5	2358
FourColor.Present8Chk25	61.3	3078
FourColor.Present8Chk26	50.3	2880
FourColor.Present8Chk27	37.3	3424
FourColor.Present8Chk28	15.4	2281
FourColor.Present8Chk29	27.8	2704
FourColor.Present8Chk3	61.9	2980
FourColor.Present8Chk30	20.9	2408
FourColor.Present8Chk31	61.8	4164
FourColor.Present8Chk32	98.1	4160
FourColor.Present8Chk33	90.7	4138
FourColor.Present8Chk34	72.0	4175
FourColor.Present8Chk35	103.1	3976
FourColor.Present8Chk36	128.2	3928
FourColor.Present8Chk37	156.9	3850
FourColor.Present8Chk38	27.7	2632
FourColor.Present8Chk39	56.7	3880
FourColor.Present8Chk4	28.3	2564
FourColor.Present8Chk40	23.3	2406
FourColor.Present8Chk41	60.2	3443
FourColor.Present8Chk42	44.3	3076
FourColor.Present8Chk43	35.2	3379
FourColor.Present8Chk44	36.7	2662
FourColor.Present8Chk45	42.2	2973
FourColor.Present8Chk46	35.4	2877
FourColor.Present8Chk47	33.7	2507
FourColor.Present8Chk48	21.1	2522
FourColor.Present8Chk49	27.2	2785
FourColor.Present8Chk5	30.5	2562
FourColor.Present8Chk50	48.3	3995
FourColor.Present8Chk51	112.2	3980
FourColor.Present8Chk52	51.2	2983
FourColor.Present8Chk53	17.8	2640
FourColor.Present8Chk54	40.5	3030
FourColor.Present8Chk55	47.5	3031
FourColor.Present8Chk56	44.5	2757
FourColor.Present8Chk57	53.4	3697
FourColor.Present8Chk58	88.5	3997
FourColor.Present8Chk59	69.8	4000
FourColor.Present8Chk6	58.0	3050
FourColor.Present8Chk60	28.3	2589
FourColor.Present8Chk61	92.3	3913
FourColor.Present8Chk62	37.6	3753
FourColor.Present8Chk63	67.5	4543
FourColor.Present8Chk64	22.9	2943
FourColor.Present8Chk65	49.6	3554
FourColor.Present8Chk66	61.8	3696
FourColor.Present8Chk67	78.1	4564
FourColor.Present8Chk68	27.6	2830
FourColor.Present8Chk69	54.0	4099
FourColor.Present8Chk7	45.1	2832
FourColor.Present8Chk70	54.0	2933
FourColor.Present8Chk71	29.4	2818
FourColor.Present8Chk72	43.8	3182
FourColor.Present8Chk73	31.1	2944
FourColor.Present8Chk74	29.7	2668
FourColor.Present8Chk75	30.0	2966
FourColor.Present8Chk76	65.6	3023
FourColor.Present8Chk77	45.6	2950
FourColor.Present8Chk78	45.2	3250
FourColor.Present8Chk79	26.3	2629
FourColor.Present8Chk8	39.1	2578
FourColor.Present8Chk80	29.2	2933
FourColor.Present8Chk81	28.1	3255
FourColor.Present8Chk82	40.4	3795
FourColor.Present8Chk83	27.7	2679
FourColor.Present8Chk84	44.0	3008
FourColor.Present8Chk85	53.7	2984
FourColor.Present8Chk86	23.2	2740
FourColor.Present8Chk87	40.9	3557
FourColor.Present8Chk88	41.4	2536
FourColor.Present8Chk89	55.4	3248
FourColor.Present8Chk9	58.9	3453
FourColor.Present8Chk90	71.9	3782
FourColor.Present8Chk91	53.0	3542
FourColor.Present8Chk92	89.0	3762
FourColor.Present8Chk93	16.0	2269
FourColor.Present8Chk94	34.2	2746
FourColor.Present8Chk95	54.4	3106
FourColor.Present8Chk96	29.5	2850
FourColor.Present8Chk97	12.3	2698
FourColor.Present8Chk98	8.9	2111
FourColor.Present8Chk99	29.7	2942
FourColor.Present8Defs	22.6	2869
FourColor.Present8Hub1	1.9	2101
FourColor.Present8Hub2	1.8	2102
FourColor.Present8Hub3	1.8	2111
FourColor.Present8Hub4	1.8	2105
FourColor.Present8Hub5	1.4	2036
FourColor.Present8Step1	13.7	2500
FourColor.Present8Step10	4.5	2190
FourColor.Present8Step2	11.9	2457
FourColor.Present8Step3	10.7	2388
FourColor.Present8Step4	9.4	2379
FourColor.Present8Step5	8.3	2300
FourColor.Present8Step6	8.3	2332
FourColor.Present8Step7	11.5	2448
FourColor.Present8Step8	9.1	2331
FourColor.Present8Step9	8.2	2332
FourColor.Present9	2.1	2031
FourColor.Present9Chk1	37.5	2507
FourColor.Present9Chk10	33.3	2758
FourColor.Present9Chk11	21.7	2649
FourColor.Present9Chk12	46.7	2736
FourColor.Present9Chk13	27.5	2629
FourColor.Present9Chk14	42.1	2760
FourColor.Present9Chk15	42.5	2966
FourColor.Present9Chk16	30.7	2944
FourColor.Present9Chk17	24.5	2326
FourColor.Present9Chk18	18.8	2389
FourColor.Present9Chk19	58.6	2972
FourColor.Present9Chk2	38.2	2584
FourColor.Present9Chk20	15.3	2949
FourColor.Present9Chk21	37.5	3100
FourColor.Present9Chk22	28.8	2891
FourColor.Present9Chk23	31.6	3017
FourColor.Present9Chk24	55.4	3388
FourColor.Present9Chk25	91.0	3836
FourColor.Present9Chk26	58.5	3611
FourColor.Present9Chk27	48.4	3042
FourColor.Present9Chk28	20.1	2434
FourColor.Present9Chk29	34.6	2680
FourColor.Present9Chk3	35.2	2679
FourColor.Present9Chk30	59.8	3441
FourColor.Present9Chk31	29.7	2787
FourColor.Present9Chk32	61.4	3273
FourColor.Present9Chk33	21.2	3310
FourColor.Present9Chk34	46.7	2832
FourColor.Present9Chk35	22.5	2740
FourColor.Present9Chk36	35.1	2638
FourColor.Present9Chk37	43.8	2909
FourColor.Present9Chk38	38.4	2944
FourColor.Present9Chk39	59.0	3250
FourColor.Present9Chk4	27.4	2747
FourColor.Present9Chk40	43.4	2881
FourColor.Present9Chk41	25.6	2919
FourColor.Present9Chk42	16.7	2529
FourColor.Present9Chk43	36.3	3056
FourColor.Present9Chk44	30.1	3487
FourColor.Present9Chk45	44.0	3463
FourColor.Present9Chk46	38.2	3354
FourColor.Present9Chk47	29.0	3062
FourColor.Present9Chk48	41.1	3280
FourColor.Present9Chk49	25.5	2732
FourColor.Present9Chk5	25.5	2252
FourColor.Present9Chk50	31.4	2717
FourColor.Present9Chk51	38.0	3022
FourColor.Present9Chk52	37.7	3223
FourColor.Present9Chk53	53.6	3210
FourColor.Present9Chk54	37.2	2460
FourColor.Present9Chk55	19.7	2832
FourColor.Present9Chk56	81.8	3258
FourColor.Present9Chk57	44.6	3611
FourColor.Present9Chk58	19.1	2533
FourColor.Present9Chk59	28.5	2674
FourColor.Present9Chk6	21.4	2246
FourColor.Present9Chk60	31.9	2652
FourColor.Present9Chk61	49.6	2824
FourColor.Present9Chk62	75.0	3081
FourColor.Present9Chk63	10.6	2171
FourColor.Present9Chk64	24.4	2977
FourColor.Present9Chk65	76.0	3557
FourColor.Present9Chk66	35.7	3103
FourColor.Present9Chk67	11.5	2317
FourColor.Present9Chk68	27.8	3152
FourColor.Present9Chk69	53.1	3410
FourColor.Present9Chk7	44.4	2744
FourColor.Present9Chk70	40.2	3530
FourColor.Present9Chk71	55.7	4212
FourColor.Present9Chk72	16.2	2961
FourColor.Present9Chk73	18.9	2890
FourColor.Present9Chk74	23.9	3228
FourColor.Present9Chk75	31.4	3079
FourColor.Present9Chk76	17.7	2523
FourColor.Present9Chk77	27.0	2561
FourColor.Present9Chk8	25.1	2922
FourColor.Present9Chk9	15.3	2669
FourColor.Present9Defs	14.9	2608
FourColor.Present9Hub1	1.8	2094
FourColor.Present9Hub2	2.1	2090
FourColor.Present9Hub3	2.0	2094
FourColor.Present9Hub4	2.1	2095
FourColor.Present9Hub5	2.0	2096
FourColor.Present9Hub6	1.6	2063
FourColor.Present9Step1	11.0	2412
FourColor.Present9Step2	8.3	2268
FourColor.Present9Step3	8.6	2324
FourColor.Present9Step4	7.0	2298
FourColor.Present9Step5	8.7	2331
FourColor.Present9Step6	6.9	2275
FourColor.Present9Step7	7.1	2276
FourColor.Present9Step8	4.5	2158
FourColor.Quiz	3.8	2090
FourColor.QuizData	116.5	2942
FourColor.QuizTree	5.2	2077
FourColor.QuizTreeData	17.6	2222
FourColor.RealPlane	1.7	2145
FourColor.RealPlaneMathlib	1.5	2131
FourColor.RedPart	7.4	2209
FourColor.RedpartSound	1.4	2044
FourColor.Reduce.All	2.3	2907
FourColor.RevSnip	3.1	2113
FourColor.Seq	1.1	1496
FourColor.Sew	2.0	1952
FourColor.Snip	3.1	2080
FourColor.TheQuizTree	3.5	2498
FourColor.Unavoidability	4.3	2308
FourColor.Walkup	2.1	2066
