# module	seconds	peak_mb -- written by scripts/build_pool.py
FourColor.Bulk.Cfg.Hyb256	19.4	3149
FourColor.Bulk.Cfg.Hyb259	21.0	3151
FourColor.Bulk.Cfg.Hyb261	24.2	3156
FourColor.Bulk.Cfg.Hyb280	2.1	2423
FourColor.Bulk.Cfg.Hyb280A	14.1	4205
FourColor.Bulk.Cfg.Hyb280B	181.2	14526
FourColor.Bulk.Cfg.Hyb280C	145.4	3007
FourColor.Bulk.Cfg.Hyb280D	23.9	2565
FourColor.Bulk.Cfg.Hyb280K1	121.2	10260
FourColor.Bulk.Cfg.Hyb280K2	124.3	10838
FourColor.Bulk.Cfg.Hyb280K3	97.9	10767
FourColor.Bulk.Cfg.Hyb282	41.5	4466
FourColor.Bulk.Cfg.Hyb285	45.4	4466
FourColor.Bulk.Cfg.Hyb289	53.0	4482
FourColor.Bulk.Cfg.Hyb290	43.6	4465
FourColor.Bulk.Cfg.Hyb292	42.8	4463
FourColor.Bulk.Cfg.Hyb295	50.7	4466
FourColor.Bulk.Cfg.Hyb300	49.5	4531
FourColor.Bulk.Cfg.Hyb303	49.1	4464
FourColor.Bulk.Cfg.Hyb308	43.7	4467
FourColor.Bulk.Cfg.Hyb310	41.9	4463
FourColor.Bulk.Cfg.Hyb311	42.6	4280
FourColor.Bulk.Cfg.Hyb317	51.3	4469
FourColor.Bulk.Cfg.Hyb335	9.1	2588
FourColor.Bulk.Cfg.Hyb338	7.9	2585
FourColor.Bulk.Cfg.Hyb353	11.5	2732
FourColor.Bulk.Cfg.Hyb355	12.0	2754
FourColor.Bulk.Cfg.Hyb358	12.3	2730
FourColor.Bulk.Cfg.Hyb361	11.1	2691
FourColor.Bulk.Cfg.Hyb364	11.1	2710
FourColor.Bulk.Cfg.Hyb376	20.0	3095
FourColor.Bulk.Cfg.Hyb377	25.6	3154
FourColor.Bulk.Cfg.Hyb378	21.7	3150
FourColor.Bulk.Cfg.Hyb379	19.6	3134
FourColor.Bulk.Cfg.Hyb380	18.5	3152
FourColor.Bulk.Cfg.Hyb381	21.2	3103
FourColor.Bulk.Cfg.Hyb393	2.1	2490
FourColor.Bulk.Cfg.Hyb393A	15.4	4203
FourColor.Bulk.Cfg.Hyb393B	91.0	8893
FourColor.Bulk.Cfg.Hyb393C	81.4	2845
FourColor.Bulk.Cfg.Hyb393D	20.5	2557
FourColor.Bulk.Cfg.Hyb393K1	61.7	7529
FourColor.Bulk.Cfg.Hyb393K2	63.2	7369
